,spk,txt,emo,emo_address,wav_address
0,0008,001116,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001116.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001116.wav
1,0008,001350,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001350.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001350.wav
2,0008,001071,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001071.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001071.wav
3,0008,001233,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001233.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001233.wav
4,0008,001152,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001152.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001152.wav
5,0008,001314,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001314.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001314.wav
6,0008,001053,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001053.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001053.wav
7,0008,001215,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001215.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001215.wav
8,0008,001134,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001134.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001134.wav
9,0008,001251,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001251.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0008/Sad/0008_001251.wav
