,Unnamed: 0,spk,txt,emo,emo_address,wav_address,txt_normalized
0,7915,1,351,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000351.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000351.wav,1
1,7825,1,352,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000352.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000352.wav,2
2,8002,1,353,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000353.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000353.wav,3
3,7781,1,354,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000354.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000354.wav,4
4,7960,1,355,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000355.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000355.wav,5
5,7867,1,356,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000356.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000356.wav,6
6,8047,1,357,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000357.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000357.wav,7
7,7704,1,358,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000358.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000358.wav,8
8,7874,1,359,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000359.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000359.wav,9
9,7903,1,360,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000360.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000360.wav,10
10,7812,1,361,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000361.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000361.wav,11
11,7980,1,362,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000362.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000362.wav,12
12,7764,1,363,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000363.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000363.wav,13
13,7931,1,364,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000364.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000364.wav,14
14,7845,1,365,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000365.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000365.wav,15
15,8022,1,366,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000366.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000366.wav,16
16,7720,1,367,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000367.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000367.wav,17
17,7889,1,368,angry,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000368.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0001/Angry/0001_000368.wav,18
