,spk,txt,emo,emo_address,wav_address
0,0017,001107,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001107.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001107.wav
1,0017,001341,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001341.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001341.wav
2,0017,001260,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001260.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001260.wav
3,0017,001143,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001143.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001143.wav
4,0017,001305,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001305.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001305.wav
5,0017,001224,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001224.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001224.wav
6,0017,001062,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001062.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001062.wav
7,0017,001125,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001125.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001125.wav
8,0017,001206,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001206.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001206.wav
9,0017,001161,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001161.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001161.wav
10,0017,001323,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001323.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001323.wav
11,0017,001242,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001242.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001242.wav
12,0017,001080,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001080.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001080.wav
13,0017,001116,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001116.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001116.wav
14,0017,001350,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001350.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001350.wav
15,0017,001152,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001152.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001152.wav
16,0017,001314,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001314.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001314.wav
17,0017,001233,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001233.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001233.wav
18,0017,001071,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001071.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001071.wav
19,0017,001134,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001134.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001134.wav
20,0017,001215,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001215.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001215.wav
21,0017,001053,sad,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001053.wav.emo.npy,/home/ubuntu/efs/sts/Emotion_Speech_Dataset/0017/Sad/0017_001053.wav
